number,repository_name,full_name,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,default_branch,url,clone_url,homepage,topics,license,is_fork,is_archived,is_template
1,athena-protocol,Zeeeepa/athena-protocol,An intelligent MCP server providing expert validation and strategic guidance for AI coding agents,TypeScript,1,0,1,0,2025-11-14T20:08:13Z,2025-11-16T11:31:37Z,2025-11-16T11:31:33Z,489,master,https://github.com/Zeeeepa/athena-protocol,https://github.com/Zeeeepa/athena-protocol.git,https://www.npmjs.com/package/@n0zer0d4y/athena-protocol,,MIT,True,False,False
2,mcpb,Zeeeepa/mcpb,Desktop Extensions: One-click local MCP server installation in desktop apps,TypeScript,1,0,1,1,2025-06-29T15:42:56Z,2025-11-16T11:28:38Z,2025-11-16T11:45:28Z,1961,main,https://github.com/Zeeeepa/mcpb,https://github.com/Zeeeepa/mcpb.git,,,MIT,True,False,False
3,tokligence-gateway,Zeeeepa/tokligence-gateway,"Go LLM gateway — one interface for Claude Code, Codex, Gemini CLI, Anthropic, OpenAI, Qwen, and vLLM.",Go,1,0,1,0,2025-10-31T23:32:51Z,2025-11-16T11:24:13Z,2025-11-06T22:37:14Z,13483,main,https://github.com/Zeeeepa/tokligence-gateway,https://github.com/Zeeeepa/tokligence-gateway.git,,,Apache-2.0,True,False,False
4,Skill_Seekers,Zeeeepa/Skill_Seekers,"Convert documentation websites, GitHub repositories, and PDFs into Claude AI skills with automatic conflict detection",Python,1,0,1,0,2025-10-29T08:25:09Z,2025-11-16T11:23:47Z,2025-11-06T22:37:19Z,641,development,https://github.com/Zeeeepa/Skill_Seekers,https://github.com/Zeeeepa/Skill_Seekers.git,,,MIT,True,False,False
5,youtu-graphrag,Zeeeepa/youtu-graphrag,Official repository of Youtu-GraphRAG: Vertically Unified Agents for Graph Retrieval-Augmented Complex Reasoning,Python,1,0,1,0,2025-09-20T06:54:16Z,2025-11-16T11:23:23Z,2025-11-06T22:37:44Z,42832,main,https://github.com/Zeeeepa/youtu-graphrag,https://github.com/Zeeeepa/youtu-graphrag.git,https://arxiv.org/abs/2508.19855,,NOASSERTION,True,False,False
6,parlant,Zeeeepa/parlant,LLM agents built for control. Designed for real-world use. Deployed in minutes.,Python,1,0,1,0,2025-08-19T16:01:29Z,2025-11-16T11:23:13Z,2025-11-06T22:37:49Z,74211,develop,https://github.com/Zeeeepa/parlant,https://github.com/Zeeeepa/parlant.git,https://www.parlant.io,,Apache-2.0,True,False,False
7,mcp-access-point,Zeeeepa/mcp-access-point,Turn a web server into an MCP server in one click without making any code changes.,Rust,1,0,1,0,2025-08-13T15:08:40Z,2025-11-16T11:22:36Z,2025-11-06T22:38:12Z,677,main,https://github.com/Zeeeepa/mcp-access-point,https://github.com/Zeeeepa/mcp-access-point.git,https://deepwiki.com/sxhxliang/mcp-access-point,,MIT,True,False,False
8,code-graph-rag,Zeeeepa/code-graph-rag,Better than Claude Code or Gemini CLI especially for Monorepos,Python,1,0,1,0,2025-07-14T17:34:32Z,2025-11-16T11:22:20Z,2025-11-06T22:38:21Z,42155,main,https://github.com/Zeeeepa/code-graph-rag,https://github.com/Zeeeepa/code-graph-rag.git,,,MIT,True,False,False
9,QwenChat2Api2,Zeeeepa/QwenChat2Api2,chat.qwen.ai的API格式转换,JavaScript,1,0,1,0,2025-10-24T11:19:52Z,2025-11-16T11:22:11Z,2025-11-06T22:38:21Z,86,main,https://github.com/Zeeeepa/QwenChat2Api2,https://github.com/Zeeeepa/QwenChat2Api2.git,,,,True,False,False
10,claude-cookbooks,Zeeeepa/claude-cookbooks,A collection of notebooks/recipes showcasing some fun and effective ways of using Claude.,Jupyter Notebook,1,0,1,0,2025-10-25T18:02:23Z,2025-11-16T11:22:03Z,2025-11-06T22:38:23Z,186453,main,https://github.com/Zeeeepa/claude-cookbooks,https://github.com/Zeeeepa/claude-cookbooks.git,,,MIT,True,False,False
